"question","truth","falsehood","split"
"Kirchhoff’s second rule (the loop rule) is an application of conservation of what?","energy","heating","train"
"One of the five fundamental conservation laws in the universe refers to conservation of what, which is the product of mass and velocity?","momentum","fluid","train"
"The pion can only be created by violating the conservation of what?","mass-energy","quantum physics","train"
"Fungi absorb nutrients from the environment through what?","mycelia","spores","train"
"What animal group can be found in every environment on earth, but primarily in the warm and moist tropics?","insect","rodent","train"
"All of the living things in an area and the nonliving environment together make up what?","ecosystem","biosphere","train"
"What do decomposers release back to the environment after they break down the remains and other wastes?","simple inorganic molecules","carbon monoxide","train"
"What is most energy that is lost to the environment lost as?","heat","gravity","test"
"Digestive enzymes secreted in the acidic environment (low ph) of the stomach help break down what?","proteins","molecules","train"
"What is the physical environment in which a species lives and to which it has adapted?","habitat","ecosystem","train"
"What are the two classifications of factors in the environment that affect organisms?","biotic and abiotic","shear and abiotic","train"
"Which of newton's laws states that the quantity of angular momentum in a closed system is fixed?","third conservation law","fourth conservation law","train"
"Electrons move, but they aren’t destroyed. this is the law of conservation of what?","charge","energy","train"
"What factors consist of parts of the environment that are or were alive, and their remains?","biotic factors","abiotic factors","train"
"Release of spores in a suitable environment will lead to germination and a new generation of what?","gametophytes","assemblages","train"
"Nitrogen also is released to the environment by decaying organisms or decaying wastes. these wastes release nitrogen in the form of what?","ammonium","sulfide","validation"
"An environment reaches its carrying capacity when the number of individual births in it equal the number of what else?","deaths","infections","validation"
"Exchange occurs directly with the external environment in what type of organisms?","unicellular organisms","hematopoietic organisms","train"
"The environment where most chemical reactions in organisms takes place consists mostly of what?","water","air","train"
"The process in which organ systems work to maintain a stable internal environment is called what?","homeostasis","consciousness","train"
"A group of living things and their environment is called what?","ecosystem","community","train"
"Which law refers to the electron charge remaining the same during transfer?","law of conservation of charge","law of construct of charge","train"
"What are the nonliving aspects of the environment called?","abiotic factors","metastatic factors","train"
"A low level of radiation occurs naturally in the environment and is called what?","background radiation","Gamma radiation","train"
"At how many places does points source pollution enter water?","one","three","train"
"What environment do animals with gills live in?","water","air","train"
"Anaerobic prokaryotes can live without what compound in their environment (it's a compound that people do need to live)?","oxygen","carbon","train"
"Most protists are aquatic organisms and need what kind of environment to survive?","moist","dry","train"
"An environment in which cells neither sink nor swell is known as what?","isotonic environment","pressured environment","train"
"Coral reefs are a type of what large community and have the highest biodiversity on earth?","biome","taxon","train"
"What do you call the study of how organisms interact with their environment and each other?","ecology","biology","test"
"What are all of the living or once-living aspects of the environment called?","biotic factors","abiotic factors","train"
"What kind of hormones are released into the environment for communication between animals of the same species?","pheromones","hormones","train"
"All living things maintain a stable internal environment through what process?","homeostasis","consciousness","train"
"What is it called when organisms with traits that better enable them to adapt to their environment tend to survive and reproduce in greater numbers?","natural selection","natural distribution","train"
"The community of all of the living and nonliving parts of an environment is known as what?","ecosystem","habitat","train"
"What is the low level of radiation that occurs naturally in the environment called?","background radiation","temperature radiation","train"
"The law of conservation of matter, which says that matter cannot be created or this?","destroyed","abandoned","train"
"What state is achieved when the body's internal environment is kept more-or-less constant?","homeostasis","cancerous","train"
"Genetic variation helps ensure that some organisms will survive if what happens?","their environment changes","they get eaten","train"
"By maintaining a relatively constant internal environment even when the external environment changes significantly, an animal achieves what?","homeostasis","hibernation","validation"
"Because microorganisms can go through several generations in a matter of hours, their gene expression profiles adapt to the new laboratory environment very quickly. in addition, the vast majority of bacterial species resist being cultured in this?","isolation","water","train"
"In terms of scientific investigation, things you notice about an environment using your five senses are called what?","observations","evidence","train"
"What type of environment is maintained in homeostasis?","constant internal","fluid internal","train"
"A carcinogen is nything in the environment that can cause what disease?","cancer","glaucoma","train"
"Secondary pollutants form from chemical reactions that occur when pollution is exposed to what?","sunlight","humans","train"
"What is the term for something in the environment that causes a reaction in an organism?","stimulus","pollution","train"
"Internal functions are coordinated and regulated so that the internal environment of a living thing is relatively constant, referred to as what?","homeostasis","stabilizer","train"
"The arid environment of a desert, for instance, can quickly deplete an animal of what?","water","strength","train"
"Most members of what kingdom of spore-making organisms grow on the forest floor, where the dark and damp environment is rich?","fungi","algae","train"
"In recent years, it has been hypothesized that molecules in the environment also act as?","endocrine disruptors","pathogens","train"
"What is the term for a system maintaining a stable internal environment in a changeable external environment?","homeostasis","Pregnant","train"
"Internal metabolism and the external environment are the sources of heat for what?","thermoregulation","hemeostasis","train"
"Toxic compounds in the environment have the most severe impact on animals that are top-level what?","carnivores","vegetarian","train"
"What kind of behaviors are adaptive because they are flexible, capable of changing if the environment changes?","learned behavior","passed behavior","train"
"While populations with unlimited resources grow exponentially, the population of a species will level off when what limit of its environment is reached?","carrying capacity","reproduction","train"
"What is the name of the process in which both the system and its environment can return to exactly the states they were in by following the reverse path?","reversible process","conductive process","train"
"What structure forms a barrier between the cytoplasm and the environment outside the cell?","cell membrane","Lipid bilayer","validation"
"If you drive or take the bus to school or work, you are using a vehicle that probably burns gasoline, a material that burns fairly easily and provides energy to power the vehicle. recall that burning is a?","chemical change","physical change","train"
"What performance-enhancing drugs are synthetic versions of the male sex hormone, testosterone?","anabolic steroids","catabolic steroids","train"
"What kind of drugs are formulated to help deal with hiv and herpes as well as influenza and two types of hepatitis?","antiviral drugs","antibacterial drugs","test"
"Snake venom may join the class of drugs collectively known as thrombolytic agents, which can help speed up the degradation of an abnormal what?","clot","brain","train"
"What types of drugs affect the brain and influence how a person can feel, think, or act?","psychoactive","antibiotics","train"
"What substances affect the brain and influence how a person feels, thinks, or acts?","psychoactive drugs or drugs","H2 blockers","train"
"Ibuprofen and albuterol are examples of drugs whose _________ have different effects.","enantiomers","nanoparticles","test"
"Certain medications can suppress the immune system. this is an intended effect of drugs given to people with what?","transplanted organs","benign tumors","train"
"Antibiotic drugs are usually effective in treating what kind of infections?","bacterial","viral","train"
"What do drugs that alleviate symptoms of schizophrenia block?","dopamine receptors","adrenaline receptors","train"
"What type of drugs can increase water loss by interfering with the recapture of solutes and water from the forming urine?","diuretics","sedatives","train"
"What system does addictive drugs affect?","reward system","digestive system","test"
"What do seismic waves prove about the inner core?","it is solid","it is liquid","train"
"What is the only amphibian without legs?","caecilians","alligators","train"
"What do we call structures that are similar in related organisms because they were inherited from a common ancestor?","homologous","monogamous","train"
"Amino acids broken down by metabolic process are mostly recycled into new what?","proteins","lipids","train"
"The planets orbit around what celestial body?","sun","moon","train"
"The concentration of hydronium ions in a solution is known as what?","acidity","base","train"
"What type of logic can lead to important conclusions from the collecting and analyzing of observations?","inductive reasoning","gravitational reasoning","train"
"When did new plants start sprouting after the forest fire?","two months later","five months later","train"
"What cause the rippled surface of the ocean?","waves","winds","train"
"What word describes a carbonyl where the carbon atom makes single bonds with two others?","ketones","acetone","train"
"What is the term for a galaxy that is a rotating disk of stars and dust?","spiral galaxy","cosmic galaxy","train"
"Metabolic cooperation between different prokaryotic species often occurs in surface-coating colonies. what are these colonies called?","biofilms","eukaryotes","train"
"Most organisms could not survive without what being present to speed up biochemical reactions?","enzymes","vitamins","train"
"What nest of cells protect the egg as it matures in the ovary?","the follicle","the tube","train"
"Where does carbohydrate digestion begin in the body?","mouth","stomach","train"
"What small glands are abundant within the mucous membranes of the mouth and tongue?","salivary glands","hypothalamus glands","train"
"What occurs when a former inhabited area gets disturbed?","secondary succession","tertiary succession","train"
"What is the term for the development of an embryo inside an egg within the mother’s body until it hatches?","ovovivipary","asexual reproduction","train"
"Screws move objects to a higher elevation by increasing what?","force applied","velocity","train"
"The chloroplasts contained within the green algal endosymbionts still are capable of what process associated with plants?","photosynthesis","germination","train"
"What is the second state of photosynthesis?","calvin cycle","Phillip cycle","train"
"Why do beer brewers add yeast to the wort?","to make alcohol","reduce alcohol","train"
"What are the largest known proteins called?","titins","obscures","train"
"What is continually released during childbirth through a positive feedback mechanism and prompts uterine contractions to fetal head toward the cervix?","oxytocin","hemoglobin","train"
"Primary alcohols are oxidized to form what?","aldehydes","alloys","train"
"What is the color of mercury(ii) oxide?","red","copper","train"
"What ultimately results in the cycling of nutrients in ecosystems?","interactions between organisms","molecules between organisms","train"
"Platforms, arches, and sea stacks are all landforms created by what?","erosion","sediment","train"
"Where does electric power originate?","power plants","the Sun","train"
"What type of fertilization do most reptiles use to reproduce?","internal","mechanical","train"
"The state of matter - solid, liquid, or gas - is also considered what type of property?","physical","thermal","train"
"Categorized based on how they produce their mrna using the baltimore classification method, what consist of a nucleic acid core surrounded by a protein capsid with or without an outer lipid envelope?","viruses","bacteria","train"
"Visible light is part of what spectrum?","electromagnetic spectrum","mechanical spectrum","train"
"Panting allows dogs to get rid of what?","excess body heat","fur balls","train"
"What is the process by which plants capture the energy of sunlight and use carbon dioxide from the air (and water) to make their own food called?","photosynthesis","spermatogenesis","train"
"Amino acids are made by which kind of plastid?","leucoplasts","neuroplasts","train"
"The amount of power passed through transmission lines can be calculated by multiplying voltage by what?","current","resistance","train"
"Wave amplitude and wavelength are two important measures of what?","wave size","wave sound","train"
"What is the standard unit for mass?","kilogram","ounce","train"
"When a balloon is rubbed against hair, they attract each other because of a difference in what?","charges","Force","train"
"Pressure and ________ are directly proportional at a constant volume?","temperature","heating","train"
"The cell starting meiosis is called a what?","primary oocyte","secondary oocyte","train"
"What is the force that causes centripetal acceleration?","centripetal force","pressure","train"
"A wave is the transfer of energy through what else?","matter","liquid","train"
"Metals, fossil fuels, and water are all examples of what type of resource?","natural resources","ores","train"
"What is the addition of nucleotides to the mrna strand?","elongation","insertion","train"
"How many hydrogen atoms does a nitrogen atom of a primary amine have?","two","four","train"
"What is the term for a formula that shows the elements in a compound in their lowest whole-number ratio?","empirical formula","measured formula","train"
"What gland is a butterfly-shaped organ located in the neck anterior to the trachea?","thyroid gland","pituitary gland","train"
"Where do plankton, nekton, and benthos live?","in the oceans","arctic","train"
"Where do amphibians lay their eggs?","in water","in caves","train"
"The food particles are caught by the collar of the choanocyte and brought into the cell by what process?","phagocytosis","hippocampus","train"
"In seedless vascular plants such as ferns, the sporophyte releases spores from the undersides of what basic plant structures?","leaves","roots","train"
"There are two basic body plans in cnidarians which are called the polyp and what else?","medusa","hydra","train"
"In science, what is a bit of information that is true?","a fact","lie","train"
"What kind of potentially harmful compounds can barbecuing food create?","carcinogens","mutagens","train"
"Change in what equals the average net external force multiplied by the time this force acts?","momentum","lag","train"
"What type of mammals are characterized by detailed development of the hands and feet, a shortened snout, and a large brain?","primates","apes","train"
"What process allows an individual to develop from a single cell into an organism with trillions of cells?","cell division","cell transition","train"
"What do you call the membrane-bounded droplets that have some properties of cells?","protocells","rods","train"
"Bees are naturalized on every continent except which?","antarctica","Australia","train"
"In arthropods, coxal glands and malphigian tubules perform what role?","excretion","ingestion","train"
"What is the ultimate source of energy for all life on earth?","the sun","its core","train"
"What do you call compounds whose properties are different because their atoms are bonded together in different arrangements?","isomers","isotopes","train"
"What celestial object has been visited by manned spacecraft and is easily seen from earth?","moon","venus","train"
"What do you call a condition caused by mutations in one or more genes?","genetic disorder","intrinsic disorder","train"
"What is the common term for erythrocytesare, specialized cells that circulate delivering oxygen to cells and are formed from stem cells in the bone marrow?","red blood cells","plateletes","train"
"When do glaciers deposit their sediment?","when they melt","when they move","train"
"One of the earliest air pumps was made by?","robert boyle","Isaac Newton","train"
"Terrestrial biomes are determined mainly by what?","climate","population","train"
"What are scientists able to determine about stars using emission and absorption spectra?","composition","shape","train"
"Scientists search for answers to questions and solutions to problems by using a procedure called this?","scientific method","measured method","train"
"What transmits nerve impulses to other cells?","neurons","fats","train"
"What is the condition in which the thyroid gland is overactive is known as?","hyperthyroidism","susceptibility","train"
"Organisms that live in freshwater environments often possess a contractile vacuole that prevents cells from taking in too much water through what process?","osmosis","electrolysis","train"
"The fact that all animals have certain traits in common shows that they share what?","a common ancestor","a common gene","train"
"E. coli need what kind of acids to survive?","amino","hydrochloric","train"
"The electric and magnetic fields are closely related and propagate as what?","electromagnetic wave","mechanical wave","train"
"What do you get by multiplying volume by the density of water?","mass of water","velocity of water","train"
"Plant-like protists are autotrophs capable of what process?","photosynthesis","sexual reproduction","train"
"What type of energy is useful to humans because it's ease of transport and conversion to other forms of energy?","electrical","physical","train"
"When performing anaerobic exercise, your muscles work against what?","resistance","gravity","train"
"The smallest unit of structure and function in all living organisms is what?","cell","mineral","train"
"Bilaterally symmetrical animals have both dorsal and what type of sides?","ventral","exterior","train"
"Which state of matter is not common on earth?","plasma","respiration","train"
"Which system of the body is responsible for bringing air into the body?","respiratory system","vascular system","train"
"The photoreceptive cells of the eye, where transduction of light to nervous impulses occurs, are located in this?","retina","pupil","train"
"Elements are defined by their atomic number, a number that describes the amount of what in the element?","protons","bonds","train"
"How many classes of biochemical compounds are there?","four","one","train"
"What laboratory instrument is used to analyze and test for static charge?","electroscope","microscope","train"
"Through a succession of mitotic cell divisions, what gives rise to a large number of cells?","zygote","condensation","train"
"Contour tillage helps slow water run-off and what process that causes topsoil loss?","soil erosion","water erosion","train"
"In a scientific experiment, the variable that is affected by the other one is called what?","dependent variable","effective variable","train"
"Cells must also be able to separate their relatively stable interior from what?","the external environment","their habitat","train"
"For any given species, what term means the maximum population that can be supported by the environment?","carrying capacity","zero population growth","train"
"With an increased understanding of gene regulation and gene function, medicines can be designed to specifically target diseased cells without harming these?","healthy cells","hosts","train"
"The rate of a reaction can be expressed either in terms of the decrease in the amount of what or the increase in the amount of a product per unit time?","reactant","plasma","train"
"What do molecules need to do for a reaction to take place?","collide","explode","train"
"What is the term for the change in temperature with distance?","temperature gradient","heat gradient","train"
"The active transport of ions across the membrane causes an electrical gradient to build up across the what?","plasma membrane","colloidal membrane","train"
"What process determines which of two fossils is older or younger than the other?","relative dating","differential dating","train"
"Under which process do living things with beneficial traits produce more offspring?","natural selection","migration","train"
"Zoonotic pathogens are transferred from what to what?","animals to humans","humans to animals","train"
"Insect wings are part of the exoskeleton and attached to the what?","thorax","neck","train"
"What was the informal female name given to the adult fossil found in ethiopia and thought to be over 3 million years old?","lucy","alice","train"
"Materials such as metals have low resistance to electric current, what are they called?","electric conductors","electric channel","train"
"What is defined as the spreading of white light into its full spectrum of wavelengths?","dispersion","immersion","train"
"What is used in the growth, development, functioning and reproduction of all known living organisms and many viruses?","dna","viruses","train"
"When methane burns, what is produced along with carbon dioxide?","water","nitrogen","train"
"What helps pumice float in water?","gas bubble holes","high density","train"
"What land mammal has the longest gestation period?","african elephant","Rhino","train"
"What sustains the fetus while it grows inside the mother’s uterus?","placenta","bacteria","train"
"Two kinds of sex hormones are of particular importance in females: progesterone, which prepares the uterus for pregnancy and prevents the further release of eggs from the ovaries during pregnancy, and the estrogens, which are mainly responsible for the development of female secondary sexual characteristics, such as breast development and increased deposition of this?","fat","muscle","train"
"Restriction enzymes or restriction endonucleases are prokaryotic enzymes that recognize and cut what at specific sequences?","dna","mitochondria","train"
"How can you prevent food allergy symptoms?","avoid offending foods","antioxidants","train"
"What are chemical reactions represented by?","chemical equations","liquid equations","train"
"The length of the sloped surface of a ramp is referred to as what?","input distance","accumulation distance","train"
"Producers, primary consumers, higher-level consumers, and decomposers are levels in what?","food chain","food model","train"
"Parthenogenis in komodo dragons is an example of what kind of reproduction, whereby offspring are created from just one parent?","asexual reproduction","natural reproduction","train"
"The value that occurs most often in a data set is called the?","mode","median","train"
"Over time, deposited sediments may harden into what?","rocks","coral","train"
"What is the most useful quantity for counting particles?","the mole","the coefficient","train"
"What is the failure of replicated chromosomes during meiosis to separate known as?","nondisjunction","pollenation","train"
"In angiosperms, flowers and fruits are adaptations essential for what process?","reproduction","variation","train"
"Through what part do exocrine glands discharge their contents?","tubular ducts","follicles","train"
"Ground tissue forms the interior of the stem. the large central vacuoles of ground tissue cells fill with water to support the plant. the cells may also store what?","food","Water","train"
"What is the name for the division of the cytoplasm in eukaryotic cells, resulting in two genetically identical daughter cells?","cytokinesis","mitosis","train"
"Biceps brachii, brachialis, and brachioradialis work to flex what part of the body?","forearm","leg","train"
"Solids can be divided into amorphous solids and which other group?","crystalline solids","morphous solids","train"
"Cancer involves what changes that modify cell-cycle control and alter the growth rate or progression of the cell through the cell cycle?","mutations","deletions","train"
"Glucose, fructose, and galactose are hexose sugars, which contain six atoms of what element?","carbon","oxygen","train"
"When an action and reaction occur, what is transferred from one object to the other, yet in combination it remains the same?","momentum","matter","train"
"Which two planetary bodies have humans walked on?","earth and the moon","Mars and Jupiter","train"
"What are named for their “spiny skin”?","echinoderms","arachnids","train"
"What is formed when sperm mixes with secretions from the various other glands of the reproductive system?","semen","testosterone","train"
"Some plants have stolons, or stems, that run along the ground and are commonly called what?","runners","stages","train"
"Clearing land for agriculture and development is a major cause of what negative result?","habitat destruction","water destruction","train"
"What in the skin dilates, or widens, in order to increase blood flow to the bodys surface?","blood vessels","veins","train"
"What burns to produce the white light in fireworks displays?","magnesium in air","nitrogen in air","train"
"Some earthworms can also reproduce asexually by fragmentation followed by what?","regeneration","fertilization","train"
"Why are eutherian mammals sometimes called placental mammals?","complex placental connection","identical placental connection","train"
"Most crustaceans have separate sexes, so they reproduce sexually using what?","eggs and sperm","pod and eggs","train"
"Visible light is one type of this radiation?","electromagnetic","neutron","train"
"Double-replacement reactions generally occur between substances in what kind of solution?","aqueous","solid","train"
"What happens to the recessive traits in the offspring of a hybridization?","they disappear","they dominate","train"
"What is a small, spherical compartment separated by at least one lipid layer from the cytosol?","vesicle","capillary","train"
"What term is used to describe is the increased or decreased speed of movement of an organism in response to a stimulus?","orthokinesis","klinokinesis","train"
"How can natural resources be classified from a human point of view?","renewable or nonrenewable","renewable or reversible","train"
"What are the two types of endoplasmic reticulum?","rough & smooth","thick & smooth","train"
"We know from what type of waves produced by earthquakes that parts of the interior of the earth are liquid?","seismic","volcanic","train"
"Radiocarbon is useful for dating relatively young materials with what element as their base?","carbon","hydrogen","train"
"What is divided during cytokinesis?","cytoplasm","chromosomes","train"
"During the typical human female ovulation cycles, how many eggs are released?","one","four","train"
"An alloy is a mixture of what with one or more other substances?","metal","acid","train"
"Single-displacement reactions are a subset of what?","redox reactions","gravitational reactions","train"
"All cells have voltages across their what?","plasma membranes","display membranes","train"
"Which is the largest planet in our solar system?","jupiter","uranus","train"
"A crucial function of the cranial nerves is to keep visual stimuli centered on the fovea of what eye structure?","retina","iris","train"
"In what process is energy from the sun converted to stored chemical energy in an organism?","photosynthesis","metabolism","train"
"Sunlight gives plants the energy they need for what?","photosynthesis","respiration","train"
"What is lowered when salts go into ion form?","resistance","charge","train"
"What is produced during the hydrogenation of vegetable oils?","trans fatty acids","complete fatty acids","train"
"Where does fertilization usually take place?","fallopian tubes","uterus","train"
"What monitors the level of carbon dioxide in the blood?","the brain stem","the lungs","train"
"When volume does not change, temperature is proportional to what other property?","pressure","Length","train"
"What is the process by which the substances you consume are taken up by the blood?","absorption","evaporation","train"
"Many discrete characters are determined by a single gene locus with different alleles that produce distinct what?","phenotypes","clusters","train"
"Why do electronegativities decrease from top to bottom?","larger atomic size","smaller atomic size","train"
"What are the three types of symbiosis?","mutualism, parasitism, commensalism","connectionism , parasitism , commensalism","train"
"What term is used to describe the ability to change or move matter?","energy","mass","train"
"What measures exactly how much gravity is pulling on something?","weight","size","train"
"Where do producers in an ecosystem generally get their energy from?","the sun","predators","train"
"Generators usually transform kinetic energy into what kind of energy?","electrical energy","subsequent energy","train"
"Most modern seed plants are angiosperms that produce seeds in the what of flowers?","ovaries","lungs","train"
"Most enzymes are classified as what?","proteins","lipids","train"
"Each hemisphere of the brain contains regions called what that are involved in different functions?","lobes","nodes","train"
"Emphysema is a chronic disease caused by the breakdown of the what tissue?","lung","heart","train"
"What is the hardest type of coal?","anthracite","Bituminous","train"
"Which orbitals do electrons fill first?","closest to the nucleus","empty orbitals","train"
"Why does photosynthesis not occur in the deep-water zone?","it is dark","it is cold","train"
"A membrane has what property if it can control what molecules or ions enter or leave the cell?","selective permeability","indiscreet permeability","train"
"Activated macrophages and neutrophils discharge what that signals molecules that enhance an immune response?","cytokines","alkaloids","train"
"The extracellular fluid is in contact with the axon membrane only at what location?","the nodes","dendrites","train"
"Muscarinic receptors can cause both depolarization or hyperpolarization depending on the what?","subtype","strain","train"
"What does rising air do when it reaches the top of the troposphere?","cools","dries","train"
"The what is the number of wave cycles that pass a specified point in space in a specified amount of time?","frequency","vibrancy","train"
"Intermediate filaments tend to give the structural stability to what?","cells","nerves","train"
"What is the process in which a layer of a second metal is deposited on the metal electrode that acts as the cathode during electrolysis?","electroplating","casting","train"
"What is the term for diseases in which blood does not clot normally?","hemophilia","arthritis","train"
"Cardiomyocytes are striated muscle cells found where?","in cardiac tissue","in the diaphram","train"
"Which protein, that stores oxygen in muscle cells, has been purified from a number of organisms?","myoglobin","melanin","train"
"What is the term for the amount of space taken up by an object?","volume","mass","train"
"In a transverse wave, the highest point the wave reaches is known as the?","crest","flow","train"
"What is the most common form of cancer in women?","breast cancer","lung cancer","train"
"Exposure to what is the most common cause of hearing loss?","loud sounds","Guitar","train"
"What basic plant structures generally have large surface areas and high surface-to-volume ratios?","leaves","roots","train"
"What is the main component of phytoplankton?","algae","amoebas","train"
"Metabolic enzymes catalyze catabolic reactions that break down what?","carbohydrates","proteins","train"
"Ponds and lakes are examples of what kind of biome?","standing freshwater biome","standing lake biome","train"
"The skeletons of humans and horses are examples of what?","endoskeletons","pliant skeletons","train"
"What type of tissue transports water, nutrients, and food in plants?","vascular tissue","rough tissue","train"
"Stomata are special pores that allow gasses to enter and exit what?","the leaf","the skin","train"
"What is created when the wave source moves faster than the wave propagation speed?","bow wake","loop wake","train"
"Lactose is a disaccharide consisting of the monomers glucose and what?","galactose","fructose","train"
"What, now former, planet is small, icy, and rocky?","pluto","mercury","train"
"What part of the plant do nutrients enter?","the roots","the seeds","train"
"Why are goose feathers preferred for stuffing by manufacturers?","softness","multi layers build up","train"
"What happens to neutral matter when electrons are transferred between objects?","it becomes charged","osmosis","train"
"Seawalls and breakwaters are built parallel to what?","shore","center-point","train"
"What is the term for the loss of one or more electrons by an atom?","oxidation","half-life","train"
"What are the lipids containing phosphorus?","phospholipids","eukaryotes","train"
"Ethers readily dissolve what type of molecules?","non-polar","proteins","train"
"What are bones made up of?","tissues","molecules","train"
"When it is winter in the northern hemisphere the southern hemisphere experiences which season?","summer","winter","train"
"What happens when liquid water evaporates?","humidity happens","condensation","train"
"What vision defect occurs because the eye is too long?","myopia","hyperopia","train"
"What happens when a neutral atom gains or loses electrons?","it becomes an ion","it loses protons","train"
"What is the outermost part of the sun's atmosphere called?","corona","rays","train"
"According to rutherford, where is the vast majority of the mass of an atom located?","the nucleus","the cytoplasm","train"
"What is the series of changes in the life of an organism?","life cycle","insect metamorphosis","train"
"The outer planets are made of hydrogen and helium, so they are termed what?","gas giants","hydrogen giants","train"
"When a liquid is heated, molecules with enough kinetic energy escape the liquid and become what?","vapor","invisible","train"
"What property of an object is obtained by multiplying its mass and its velocity?","momentum","fluid","train"
"Solutions that are prepared in which a solute concentration exceeds its solubility are called what?","supersaturated","solidified","train"
"The word fungus comes from the latin word for what?","mushroom","mold","train"
"The part of a plant that is responsible for reproduction is the?","flower","leaf","train"
"Isotopes have the same number of protons and electrons, but a different number of what?","neutrons","reactions","train"
"Shivering and adipose tissue called brown fat are used by mammals in particular to produce what?","heat","energy","train"
"Where are the somas of sensory neurons located in the spinal cord?","dorsal root ganglia","frontal root ganglia","train"
"What is the term for organisms that make their own food?","autotrophs","omnivores","train"
"What energy, produced by vibrations, cannot travel through empty space?","sound","light","train"
"What process allows plants to convert light energy into sugars and energy for food?","photosynthesis","respiration","train"
"Nonvascular plants lack  vascular tissue and what?","seeds","cytoplasm","train"
"What is the equation of power released?","voltage x current","amplitude x current","train"
"Silencing genes through epigenetic mechanisms is commonly practiced on what type of uncontrolled cells?","cancer cells","giving cells","train"
"Along with muscles, what helps the body move with relatively little force?","joints","glands","train"
"What process do all species use to make the next generation?","reproduction","separation","train"
"According to one of einstein's theory, while light consists of particles, it behaves like this.","waves","thermodynamics","train"
"Soil forms where land areas are what?","flat","merging","train"
"An estimated 99 percent of the species that have ever lived on earth no longer exist, showing that what event is common?","extinction","accumulation","train"
"What type of energy is the energy of moving matter?","kinetic energy","dynamic energy","train"
"What does bile help to digest ?","fat","food","train"
"A gene may have different versions called what?","alleles","genomes","train"
"What is a mixture of metal with one or more other elements?","an alloy","an alkali metal","train"
"What is the movement of substances across the membrane without the expenditure of cellular energy called?","passive transport","inner cell transport","train"
"Pheromones enable what, which is vital for organisms like ants that live in a large community?","communication","adaptation","train"
"What is the part of the shadow that is partially lit called?","penumbra","eclipse","train"
"When a mountain stream flows onto flatter land and comes to a stop rapidly, what do the deposits form?","alluvial fan","conical fan","train"
